ax,ay,az,gx,gy,gz,left_click,right_click
0.1523,0.2217,0.9687,-13.8702,-3.0305,-5.0229,1,0,0
0.1611,0.2039,0.9758,-13.2977,-5.2977,-4.8855,1,0,0
0.166,0.1956,0.9756,-10.1221,-6.2977,-5.4962,1,0,0
0.175,0.1985,0.9849,-7.2061,-5.916,-5.9771,1,0,0
0.1804,0.2104,0.99,-6.3893,-5.3893,-6.0,1,0,0
0.1802,0.2063,0.9897,-5.8321,-4.0076,-6.1908,1,0,0
0.1858,0.2012,0.9937,-5.7252,-2.9618,-5.2901,1,0,0
0.1807,0.2004,0.9971,-6.6412,-2.4275,-4.3435,1,0,0
0.1797,0.1987,0.9836,-7.229,-3.229,-4.7557,1,0,0
0.2026,0.1753,1.0098,-12.4962,-4.2137,-3.5802,1,0,0
0.1726,0.1953,0.9656,-17.1908,-7.3511,-1.8473,1,0,0
0.1711,0.1516,0.9988,-17.2061,-9.8702,-0.7023,1,0,0
0.167,0.1646,0.9907,-13.9313,-10.8473,0.1603,1,0,0
0.1792,0.1619,0.9917,-12.6107,-10.5496,0.8015,1,0,0
0.1741,0.1846,0.9839,-11.9695,-10.5191,0.4962,1,0,0
0.1653,0.1829,0.9897,-12.1069,-12.0,-0.2748,1,0,0
0.1736,0.179,1.0085,-8.7634,-13.3053,-1.3969,1,0,0
0.1763,0.1641,0.9968,-4.4427,-13.2061,-2.0916,1,0,0
0.167,0.166,0.9873,-2.0763,-14.9618,-1.0229,0,0,0
0.167,0.1943,0.9722,-1.6107,-16.8855,-1.2214,0,0,0
0.1667,0.165,0.957,-1.542,-20.3206,-1.4351,0,0,0
0.1638,0.1609,0.9553,-1.9313,-23.0611,-1.7481,0,0,0
0.1655,0.1716,0.9714,-2.2901,-26.2901,-2.0458,0,0,0
0.1821,0.1418,0.9878,-1.8779,-27.6641,-0.9771,0,0,0
0.199,0.146,0.9976,-0.4427,-26.1527,-0.9084,0,0,0
0.2007,0.1533,0.9912,2.4504,-25.8779,0.3817,0,0,0
0.1938,0.1768,0.9912,4.1756,-24.9618,0.6641,0,0,0
0.2078,0.2014,0.9856,2.8168,-24.8473,-0.4427,0,0,0
0.2021,0.1899,0.9744,1.1298,-24.9618,-2.1069,0,0,0
0.2104,0.1614,0.9714,0.6565,-25.7481,-1.8244,0,0,0
0.2266,0.1504,0.9878,2.2824,-25.916,-0.7863,0,0,0
0.2278,0.1375,0.9954,5.6183,-24.3053,-0.6947,0,0,0
0.2439,0.1558,0.9929,8.229,-23.1908,0.7328,0,0,0
0.2437,0.1917,0.9885,6.6641,-22.6794,0.9695,0,0,0
